num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,2316.391,3,1242.0,,1254211.6,,,,1.0,,2.78,8.16,47.981,9714912,,97.9,,7.188,8.151,6208.5,,,,,1,,16.853,,,,18.43
2,2773.477,,7251.8,489876,1740753.0,1.02012,9775492,,1.500827662313776,,3.056,5.437,87.579,9714912,3666,202.8,0.499486,3.445,7.457,11556.4,2,3.521,1,0.5,3,1.00624,21.051,35.6809,,1.191,
3,2776.47,,12082.2,489876,1781500.8,1.1028,9815820,,1.955896452540748,,4.119,4.172,88.858,9714912,6194,224.5,0.338323,3.3,5.11,12047.1,3,3.416,0,0.333352,4,1.01039,17.246,14.8118,,1.247,
4,2769.142,,14237.8,489876,1412830.2,1.08922,9850024,,2.6053639846743293,,2.945,3.132,87.859,9714912,8632,231.5,0.251966,3.335,3.782,13274.3,4,3.709,1,0.250014,5,1.01391,15.207,8.0951,,1.248,
5,2747.349,,17555.8,489876,1493507.1,1.34513,9869076,,2.626327647248149,,3.628,3.107,87.841,9714912,10008,237.7,0.211296,3.35,3.439,12461.8,5,3.504,4,0.200006,6,1.01587,14.714,5.95918,,1.313,
6,2748.546,,22067.7,489876,1389443.1,1.24825,9892688,,3.7414030261348006,,2.854,2.181,86.889,9714912,11482,243.4,0.176773,3.315,2.868,11406.8,6,3.483,2,0.166676,7,1.0183,13.162,4.11117,,1.315,
7,2758.826,,27648.1,489876,1304922.0,1.26421,9911700,,4.007858546168959,,2.923,2.036,87.062,9714912,12692,248.8,0.149341,3.344,2.67,11705.9,7,3.435,1,0.142878,8,1.02026,12.698,3.31693,,1.213,
8,2753.046,,32037.8,489876,1275177.0,1.28397,9946090,,4.646924829157175,,2.681,1.756,85.967,9714912,14496,246.8,0.127895,3.35,2.422,11309.5,8,3.582,0,0.125022,9,1.0238,12.361,2.34877,,1.251,
9,2742.8,,40231.3,489876,1281169.5,1.27119,9952454,,6.080476900149031,,2.952,1.342,84.009,9714912,15553,245.4,0.116633,3.347,2.203,11930.6,9,3.497,6,0.111156,10,1.02445,11.573,2.09498,,1.184,
10,2752.221,,44309.4,489876,1369259.4,1.39821,9977576,,5.562372188139059,,2.85,1.467,85.636,9714912,16422,249.6,0.104923,3.313,2.081,13811.4,10,3.523,9,0.100017,11,1.02704,11.702,1.71588,,1.318,
