num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,10351.995,10,11382.7,,7616539.7,,,,1.0,,20.916,2.981,233.204,46530559,,95.8,,47.29,51.747,28343.4,,,,,1,,57.343,,,,103.692
2,13077.067,,43553.3,1272319,14226886.5,1,46530563,,1.6908678389109473,,23.89,1.763,486.28,46530559,1,216.6,0.5,19.441,50.205,54431.4,2,18.538,0,0.5,3,1,96.057,7.7550906,,6.111,
3,12933.951,,171074.4,1272319,19504335.8,1.00013,46530567,,2.298380878951426,,28.408,1.297,478.722,46530559,2,227.9,0.333363,19.424,35.654,53541.0,3,19.686,2,0.333363,4,1,81.562,2.5852606,,5.501,
4,12981.404,,191648.1,1272319,13801261.8,1,46530571,,3.254366812227074,,21.378,0.916,488.605,46530559,3,243.5,0.25,19.442,25.661,54491.5,4,18.991,0,0.25,5,1,70.696,1.2925206,,5.686,
5,12937.118,,374244.3,1272319,18578882.4,1,46530575,,3.72625,,26.025,0.8,482.507,46530559,4,243.8,0.2,19.399,21.541,53948.5,5,20.357,0,0.2,6,1,67.767,775509,,5.671,
6,12904.018,,318255.3,1272319,11814586.7,1.00026,46530579,,4.777243589743589,,18.625,0.624,484.855,46530559,5,252.1,0.166681,19.458,17.144,53612.1,6,19.54,0,0.166681,7,1,62.315,517052,,5.548,
7,12820.744,,445511.8,1272319,14413211.9,1.00031,46530583,,5.285460992907802,,21.176,0.564,486.657,46530559,6,256.2,0.14287,19.434,15.164,54085.7,7,19.757,0,0.14287,8,1,60.643,369323,,5.725,
8,12874.36,,563765.4,1272319,14399390.9,1,46530587,,5.5512104283054,,21.399,0.537,470.186,46530559,7,250.1,0.125,19.43,13.862,52913.9,8,18.709,0,0.125,9,1,58.249,276968,,5.712,
9,12866.475,,730420.4,1272319,13783855.1,1.0004,46530591,,5.938247011952191,,21.936,0.502,471.364,46530559,8,251.7,0.111136,19.457,13.164,53277.5,9,18.495,0,0.111136,10,1,57.226,215467,,5.608,
10,12843.017,,540960.0,1272319,10676679.8,1,46530595,,7.5088161209068005,,18.023,0.397,470.304,46530559,9,256.1,0.1,19.41,11.429,53024.2,10,17.782,0,0.1,11,1,54.916,172335,,5.898,
