num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,283.996,19,245.3,,213563.0,,,,1.0,,0.495,0.208,6.22,1048575,,98,,0.725,2.302,902.4,,,,,1,,2.568,,,,2.517
2,328.74,,620.9,190,178814.5,4.00587,1053691,,0.908296943231441,,2.052,0.229,13.607,1048575,99,194.5,1,0.273,3.827,1709.0,1,0.317,2,0.55,3,1.00488,4.774,2052.01,,0.128,
3,338.452,,785.6,190,187737.4,2.01587,1049209,,0.9122807017543859,,1.925,0.228,13.578,1048575,133,190.6,1,0.272,3.876,1743.4,0,0.291,3,0.35,4,1.0006,4.806,16644,,0.14,
4,328.67,,702.2,190,179909.8,4.2,1048855,,0.9203539823008848,,1.548,0.226,12.841,1048575,149,181.4,1,0.272,3.72,1667.5,2,0.299,4,0.3,5,1.00027,4.642,69905,,0.125,
5,328.165,,641.8,190,178192.1,1,1048725,,0.9285714285714285,,1.304,0.224,12.228,1048575,160,176.7,1,0.272,3.509,1539.2,0,0.295,5,0.2,6,1.00014,4.423,69905,,0.123,
6,322.981,,657.2,190,177212.1,2.14286,1048691,,0.9244444444444444,,1.519,0.225,12.769,1048575,166,182.7,1,0.273,3.682,1712.5,0,0.3,6,0.2,7,1.00011,4.603,149796,,0.123,
7,338.332,,760.4,190,187057.2,2.33333,1048665,,0.9244444444444444,,1.408,0.225,12.83,1048575,171,179.0,1,0.272,3.676,1575.6,0,0.316,7,0.15,8,1.00009,4.619,349525,,0.13,
8,328.478,,756.4,190,181831.3,2.33333,1048655,,0.9244444444444444,,1.381,0.225,12.815,1048575,174,180.3,1,0.272,3.669,1551.4,0,0.326,8,0.15,9,1.00008,4.615,349525,,0.124,
9,328.363,,704.1,190,179548.5,2.33333,1048645,,0.9369369369369369,,0.823,0.222,12.191,1048575,177,170.0,1,0.272,3.447,1548.0,0,0.342,9,0.15,10,1.00007,4.419,349525,,0.136,
10,322.789,,636.0,190,175442.3,7,1048639,,0.9369369369369369,,0.798,0.222,12.338,1048575,179,171.8,1,0.272,3.434,1510.5,5,0.358,10,0.15,11,1.00006,4.422,1.0485806,,0.136,
