num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,59.801,3,14.6,,31148.1,,,,1.0,,0.06,3.981,4.269,73309,,98.3,,0.02,0.041,446.3,,,,,1,,4.027,,,,0.204
2,75.529,,223.1,36801,41580.7,1.03107,103413,,1.0189403634502174,,0.069,3.907,4.411,73309,15108,105.2,0.701524,0.009,0.081,588.5,1,0.06,2,0.5008,3,1.41065,4.074,2.8282,,0.016,
3,138.1,,226.0,36801,85818.8,1.26065,100309,,0.3060189099853947,,0.136,13.009,13.462,73309,20607,101,0.827675,0.01,0.097,1532.3,0,0.068,3,0.3344,4,1.3683,13.198,8.02805,,0.015,
4,130.379,,217.4,36801,77610.7,1.03284,97427,,0.3088919925512104,,0.147,12.888,13.365,73309,23429,101.8,0.879537,0.009,0.099,1464.4,3,0.069,4,0.2504,5,1.32899,13.08,12.6057,,0.015,
5,133.25,,237.6,36801,93565.3,1.16359,95035,,0.16106323582959098,,0.239,24.717,25.23,73309,25304,101,0.90566,0.01,0.107,2688.4,2,0.068,5,0.2008,6,1.29636,24.916,20.0765,,0.014,
6,122.671,,233.2,36801,90902.5,1.13536,93109,,0.18907622892424603,,0.319,21.055,21.717,73309,26596,102.1,0.921538,0.01,0.106,2438.9,3,0.07,6,0.1672,7,1.27009,21.255,28.137,,0.014,
7,117.792,,226.0,36801,88657.7,1.14255,91833,,0.20249237029501524,,0.394,19.66,20.439,73309,27525,103.8,0.933473,0.009,0.102,2270.7,0,0.071,7,0.1432,8,1.25268,19.855,36.6731,,0.013,
8,116.107,,226.9,36801,86578.7,1.10358,90863,,0.21915772089182495,,0.6,18.165,19.231,73309,28185,106.5,0.942708,0.009,0.122,2130.8,4,0.07,8,0.1256,9,1.23945,18.38,45.0221,,0.013,
9,109.122,,223.8,36801,86424.6,1.14648,89821,,0.24548313498180924,,0.682,16.217,17.383,73309,28802,108.2,0.947687,0.01,0.121,1952.1,3,0.069,9,0.112,10,1.22524,16.43,55.0071,,0.013,
10,108.816,,229.4,36801,81130.3,1.16268,89011,,0.26046846375294425,,0.69,15.284,16.491,73309,29300,109,0.950484,0.01,0.122,1788.6,5,0.07,10,0.1008,11,1.21419,15.499,66.6785,,0.013,
