num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,4474.638,8,4998.9,,2535540.6,,,,1.0,,8.5,4.585,110.227,19543484,,96,,19.503,31.378,16223.2,,,,,1,,37.053,,,,43.345
2,5724.998,,17734.7,546097,6662698.1,1.12182,19867658,,1.5691307323750854,,12.479,2.922,237.241,19543484,12829,221.9,0.51919,7.38,30.967,26862.6,2,9.474,1,0.5,3,1.01659,53.393,19.7455,,2.649,
3,5690.267,,39084.9,546097,6054194.3,1.16685,19903358,,2.2664359861591694,,9.18,2.023,224.32,19543484,18236,237.3,0.351146,7.383,19.692,24933.2,3,8.461,0,0.33334,4,1.01841,40.186,12.2157,,2.627,
4,5741.004,,51542.2,546097,6117029.0,1.22636,20054600,,2.780473013947847,,10.129,1.649,240.152,19543484,23218,255.9,0.275111,7.371,16.627,26711.1,4,10.566,3,0.25002,5,1.02615,38.951,6.59932,,2.738,
5,5712.33,,60456.4,546097,5759088.2,1.2352,20113502,,3.1774081774081773,,9.676,1.443,242.637,19543484,27755,269.0,0.216698,7.383,13.612,27128.4,5,10.271,4,0.2,6,1.02917,35.158,4.75426,,2.449,
6,5705.234,,68777.4,546097,5429031.7,1.34409,20187146,,3.562548562548563,,8.795,1.287,243.632,19543484,29602,270.7,0.189765,7.415,11.769,27209.3,6,10.985,3,0.16668,7,1.03293,34.222,3.59264,,2.766,
7,5690.173,,103687.9,546097,5140021.9,1.29836,20213056,,4.032541776605101,,7.87,1.137,227.576,19543484,32379,267.1,0.155434,7.387,10.05,25614.5,7,9.288,5,0.14288,8,1.03426,30.451,2.77741,,2.589,
8,5731.53,,129599.1,546097,6247706.7,1.34775,20317068,,4.281045751633987,,9.627,1.071,228.968,19543484,35200,265.9,0.143608,7.413,9.413,25645.0,8,10.472,5,0.125,9,1.03958,31.005,2.2155,,2.636,
9,5719.936,,103641.3,546097,4486316.0,1.40588,20257748,,4.836497890295359,,7.011,0.948,220.569,19543484,36611,264.7,0.132293,7.412,8.563,24595.9,9,8.758,0,0.11112,10,1.03655,28.386,2.16474,,2.707,
10,5703.663,,121051.1,546097,4299008.6,1.31728,20303662,,5.471360381861575,,7.247,0.838,223.358,19543484,37084,274.2,0.108428,7.4,7.533,25519.7,10,8.584,5,0.1,11,1.0389,27.203,1.74938,,2.848,
