num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,2316.391,3,1242.0,,1254211.6,,,,1.0,,2.78,8.16,47.981,9714912,,97.9,,7.188,8.151,6208.5,,,,,1,,16.853,,,,18.43
2,1951.506,,6306.4,,1240454.8,,,,1.4631522323830017,3.487,1.99,5.577,79.989,,,192.5,,,5.572,12695.4,,,,,2,,16.88,,2.24,,
3,1950.804,,10040.0,,1287605.3,,,,1.9105595879185204,3.203,3.122,4.271,80.928,,,211.7,,,3.931,11202.6,,,,,3,,13.525,,2.12,,
4,1949.765,,12594.7,,1106401.2,,,,2.4526600541027954,3.461,2.141,3.327,81.766,,,222.2,,,3.069,12258.6,,,,,4,,12.026,,2.169,,
5,1949.452,,16337.0,,1044209.3,,,,2.3414634146341466,3.369,2.523,3.485,79.629,,,220.1,,,2.857,13425.1,,,,,5,,11.881,,2.172,,
6,1951.777,,21352.8,,1001168.9,,,,3.359407163441746,3.203,1.91,2.429,77.668,,,223.8,,,2.4,11066.6,,,,,6,,10.121,,2.087,,
7,1950.465,,26890.3,,1001775.8,,,,3.4213836477987427,3.318,2.087,2.385,78.875,,,228.1,,,2.386,12628.0,,,,,7,,10.223,,2.135,,
8,1948.94,,31521.3,,998811.5,,,,3.8508730533270406,3.337,1.91,2.119,78.061,,,228.2,,,2.103,12497.4,,,,,8,,9.704,,2.144,,
9,1943.091,,37047.0,,995333.7,,,,4.9275362318840585,3.283,2.105,1.656,78.25,,,232.1,,,2.032,11965.3,,,,,9,,9.095,,2.124,,
10,1949.478,,40337.0,,1060940.0,,,,4.077961019490255,3.104,2.08,2.001,77.48,,,227.4,,,1.932,11879.0,,,,,10,,9.146,,2.109,,
11,1945.7,,60161.8,,995479.6,,,,4.270015698587128,3.221,2.461,1.911,77.662,,,230.4,,,1.924,11775.3,,,,,11,,9.191,,2.135,,
