num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,10351.995,10,11382.7,,7616539.7,,,,1.0,,20.916,2.981,233.204,46530559,,95.8,,47.29,51.747,28343.4,,,,,1,,57.343,,,,103.692
2,9288.664,,28015.8,,11683291.1,,,,1.6766029246344205,19.238,17.144,1.778,462.937,,,215.4,,,39.244,51870.2,,,,,2,,73.558,,13.297,,
3,9288.65,,118642.2,,12839370.9,,,,2.3771929824561404,18.559,18.056,1.254,442.144,,,219.4,,,27.285,53486.9,,,,,3,,60.739,,13.639,,
4,9288.394,,96261.7,,7834126.0,,,,3.486549707602339,22.758,11.566,0.855,460.599,,,231.7,,,18.924,51077.0,,,,,4,,56.436,,13.896,,
5,9288.475,,245992.5,,10582106.7,,,,3.979973297730307,20.94,14.703,0.749,466.749,,,242.5,,,16.276,52948.6,,,,,5,,51.286,,13.318,,
6,9288.37,,391853.4,,13818934.4,,,,4.503021148036253,21.007,18.633,0.662,453.464,,,238.2,,,14.265,52038.5,,,,,6,,50.015,,14.082,,
7,9288.148,,255627.4,,7310830.4,,,,5.856581532416502,18.98,10.826,0.509,464.077,,,250.0,,,11.397,51641.0,,,,,7,,44.011,,13.128,,
8,9288.046,,348408.0,,8365557.2,,,,6.466377440347071,20.175,12.449,0.461,463.514,,,249.7,,,10.401,52658.8,,,,,8,,44.33,,13.294,,
9,9288.109,,366171.6,,7680237.8,,,,7.253041362530413,19.143,11.711,0.411,452.192,,,245.4,,,9.485,50321.3,,,,,9,,42.461,,13.419,,
10,9287.577,,411567.1,,7090640.8,,,,8.056756756756757,19.357,12.422,0.37,447.092,,,242.8,,,9.234,51770.8,,,,,10,,42.618,,13.659,,
11,9287.492,,475398.1,,6847247.6,,,,8.444759206798867,17.384,14.351,0.353,449.225,,,250.0,,,9.615,50510.5,,,,,11,,40.664,,13.316,,
