num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,283.996,19,245.3,,213563.0,,,,1.0,,0.495,0.208,6.22,1048575,,98,,0.725,2.302,902.4,,,,,1,,2.568,,,,2.517
2,261.173,,496.2,,136876.8,,,,0.9904761904761905,0.28,0.168,0.21,9.073,,,143.1,,,2.383,1152.1,,,,,2,,3.042,,0.17,,
3,261.118,,629.6,,136781.7,,,,0.9904761904761905,0.286,0.174,0.21,9.107,,,143.3,,,2.382,1221.9,,,,,3,,3.046,,0.17,,
4,261.114,,576.3,,136696.4,,,,0.9904761904761905,0.292,0.173,0.21,9.158,,,144.4,,,2.397,1120.3,,,,,4,,3.066,,0.17,,
5,261.113,,618.7,,136754.9,,,,0.9904761904761905,0.291,0.177,0.21,9.083,,,143.3,,,2.382,1175.2,,,,,5,,3.049,,0.17,,
6,261.107,,610.9,,136691.5,,,,0.9904761904761905,0.296,0.17,0.21,9.194,,,145.0,,,2.384,1111.4,,,,,6,,3.057,,0.17,,
7,261.107,,615.3,,136518.5,,,,0.9904761904761905,0.311,0.168,0.21,9.296,,,146.8,,,2.389,1167.5,,,,,7,,3.077,,0.17,,
8,261.105,,605.2,,136459.7,,,,0.9904761904761905,0.321,0.165,0.21,9.461,,,147.9,,,2.382,1079.8,,,,,8,,3.079,,0.17,,
9,261.103,,677.0,,136324.5,,,,0.9904761904761905,0.335,0.17,0.21,9.665,,,150.6,,,2.383,1154.7,,,,,9,,3.095,,0.17,,
10,261.099,,620.6,,136202.4,,,,0.9904761904761905,0.352,0.171,0.21,9.806,,,152.9,,,2.383,1141.0,,,,,10,,3.109,,0.17,,
11,261.097,,583.8,,136149.9,,,,1.0297029702970295,0.365,0.177,0.202,9.927,,,154.9,,,2.35,1155.5,,,,,11,,3.086,,0.17,,
