num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,59.801,3,14.6,,31148.1,,,,1.0,,0.06,3.981,4.269,73309,,98.3,,0.02,0.041,446.3,,,,,1,,4.027,,,,0.204
2,65.175,,204.4,,34801.2,,,,0.8577892695539754,0.03,0.045,4.641,4.959,,,102.1,,,0.043,626.1,,,,,2,,4.723,,0.01,,
3,78.251,,222.6,,48041.2,,,,0.4490693739424704,0.04,0.061,8.865,9.18,,,101,,,0.05,1165.4,,,,,3,,8.958,,0.01,,
4,72.484,,213.4,,48396.7,,,,0.6828473413379074,0.04,0.051,5.83,6.159,,,101.9,,,0.05,802.3,,,,,4,,5.919,,0.01,,
5,83.053,,211.2,,51764.6,,,,0.5003141887646098,0.04,0.056,7.957,8.274,,,101,,,0.05,1057.4,,,,,5,,8.052,,0.01,,
6,86.175,,189.2,,52827.9,,,,0.5097311139564661,0.04,0.061,7.81,8.121,,,101,,,0.05,979.2,,,,,6,,7.907,,0.009,,
7,87.995,,191.9,,61335.2,,,,0.41313823163138236,0.043,0.07,9.636,9.939,,,100.7,,,0.05,1184.6,,,,,7,,9.737,,0.01,,
8,89.608,,197.8,,62613.6,,,,0.4257298684632659,0.044,0.059,9.351,9.665,,,101,,,0.05,1118.2,,,,,8,,9.452,,0.01,,
9,90.358,,193.5,,59404.3,,,,0.305034097004061,0.04,0.066,13.051,13.344,,,100,,,0.05,1449.4,,,,,9,,13.152,,0.01,,
10,89.9,,203.6,,58599.7,,,,0.32444987775061124,0.047,0.063,12.27,12.579,,,100.1,,,0.05,1378.3,,,,,10,,12.374,,0.01,,
11,92.564,,199.6,,67989.6,,,,0.27586445845748736,0.043,0.064,14.431,14.725,,,100,,,0.05,1683.8,,,,,11,,14.533,,0.01,,
