num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,4474.638,8,4998.9,,2535540.6,,,,1.0,,8.5,4.585,110.227,19543484,,96,,19.503,31.378,16223.2,,,,,1,,37.053,,,,43.345
2,4022.749,,8212.5,,3101003.9,,,,1.6087719298245613,9.247,6.814,2.85,222.111,,,224.0,,,23.524,25004.8,,,,,2,,40.806,,5.184,,
3,4023.029,,30045.6,,4307534.7,,,,2.2344054580896686,8.352,6.15,2.052,215.031,,,238.0,,,16.165,24331.2,,,,,3,,31.701,,5.134,,
4,4023.392,,25495.2,,2948680.3,,,,2.72106824925816,8.917,5.189,1.685,219.54,,,250.9,,,12.954,24480.7,,,,,4,,28.74,,5.184,,
5,4024.225,,40128.2,,3444959.5,,,,3.1382614647501708,8.867,5.691,1.461,224.706,,,262.8,,,10.735,28935.1,,,,,5,,26.092,,5.027,,
6,4023.659,,46872.6,,3113104.7,,,,3.4946646341463414,9.153,5.032,1.312,217.307,,,259.3,,,9.402,24482.2,,,,,6,,25.154,,5.29,,
7,4023.589,,58048.0,,2858092.4,,,,3.983492615117289,9.55,4.326,1.151,224.537,,,270.8,,,8.318,25391.8,,,,,7,,24.19,,5.169,,
8,4024.642,,53690.8,,2582348.0,,,,4.141824751580849,8.301,4.411,1.107,210.51,,,258.0,,,7.766,23832.8,,,,,8,,22.418,,5.245,,
9,4025.446,,72425.3,,2349344.6,,,,4.354226020892688,7.249,3.755,1.053,205.785,,,256.3,,,7.182,23181.5,,,,,9,,20.438,,4.948,,
10,4024.472,,77387.5,,2288815.5,,,,4.851851851851852,7.583,4.12,0.945,204.28,,,256.9,,,6.636,23489.7,,,,,10,,20.286,,5.122,,
11,4024.738,,96170.9,,2287784.2,,,,4.846723044397463,7.065,4.395,0.946,198.845,,,253.7,,,6.437,22801.6,,,,,11,,19.553,,5.108,,
