num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,952.479,,7.8,,607097.2,,,,1.0,,1.032,15.92,30.766,,,99,,,,3264.0,,,,,1,,,,,,14.3
2,1001.975,,66.7,,566759.7,,,,1.1810089020771513,,1.134,13.48,28.41,,,100,,,,3012.8,,,,,2,,,,,,14.35
3,958.381,,246.8,,662110.5,,,,1.2379471228615864,,1.358,12.86,28.006,,,102,,,,3005.2,,,,,3,,,,,,14.37
4,933.632,,472.9,,635557.4,,,,1.3977172958735733,,1.359,11.39,27.154,,,104,,,,2934.9,,,,,4,,,,,,14.36
5,951.596,,1303.0,,671475.9,,,,1.3178807947019868,,1.381,12.08,28.073,,,104.2,,,,3047.6,,,,,5,,,,,,14.44
6,946.43,,1405.7,,660152.4,,,,1.267515923566879,,1.367,12.56,28.58,,,105.1,,,,3119.3,,,,,6,,,,,,14.15
7,976.492,,663.8,,753767.8,,,,1.206060606060606,,1.607,13.2,29.463,,,105.5,,,,3232.9,,,,,7,,,,,,14.42
8,955.845,,831.6,,682286.6,,,,1.2655007949125596,,1.407,12.58,29.19,,,106.3,,,,3175.0,,,,,8,,,,,,14.39
9,952.325,,561.6,,676072.4,,,,1.236985236985237,,1.4,12.87,29.521,,,106.6,,,,3221.2,,,,,9,,,,,,14.41
10,943.142,,1137.7,,674054.8,,,,1.258498023715415,,1.532,12.65,29.459,,,107.2,,,,3256.8,,,,,10,,,,,,14.4
11,944.122,,634.0,,632744.5,,,,1.2655007949125596,,1.418,12.58,29.775,,,108,,,,3313.4,,,,,11,,,,,,14.44
