num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,4954.94,,11,,2582955.2,,,,1.0,,6.682,8.86,91.588,,,99,,,,10119.0,,,,,1,,,,,,78.62
2,4213.594,,35.1,,2363758.3,,,,3.023890784982935,,6.705,2.93,85.532,,,99,,,,9303.3,,,,,2,,,,,,78.31
3,4213.59,,56.8,,2662511.2,,,,2.9435215946843853,,7.589,3.01,86.219,,,100,,,,9492.6,,,,,3,,,,,,78.29
4,4213.651,,77.4,,2435290.7,,,,3.4609374999999996,,7.048,2.56,86.185,,,101,,,,9449.1,,,,,4,,,,,,78.14
5,4269.738,,484.0,,2485504.8,,,,3.368821292775665,,7.106,2.63,87.112,,,101,,,,9576.7,,,,,5,,,,,,78.4
6,4489.15,,3523.5,,2460570.3,,,,2.1349397590361443,,7.264,4.15,90.66,,,103,,,,10007.0,,,,,6,,,,,,78.63
7,4786.874,,3474.3,,2991694.5,,,,1.59927797833935,,7.933,5.54,91.852,,,104,,,,10264.7,,,,,7,,,,,,78.07
8,4888.564,,3172.3,,3068767.2,,,,1.5765124555160142,,7.695,5.62,93.852,,,105.4,,,,10653.1,,,,,8,,,,,,78.52
9,4718.66,,1355.7,,3300611.7,,,,1.6499068901303537,,8.079,5.37,94.557,,,107.1,,,,10766.3,,,,,9,,,,,,78.1
10,4699.841,,2069.8,,2926551.1,,,,1.757936507936508,,7.523,5.04,96.09,,,108.5,,,,10937.7,,,,,10,,,,,,78.15
11,4909.207,,3935.4,,3232001.5,,,,1.6529850746268655,,8.307,5.36,97.781,,,110.3,,,,11248.2,,,,,11,,,,,,78.62
