num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,212.041,,5.2,,81341.6,,,,1.0,,0.202,0.7,3.136,,,99,,,,346.0,,,,,1,,,,,,2.4
2,134.549,,21.9,,63359.5,,,,6.999999999999999,,0.197,0.1,2.633,,,100.9,,,,297.9,,,,,2,,,,,,2.4
3,134.555,,22.3,,63391.9,,,,6.999999999999999,,0.235,0.1,2.641,,,102.6,,,,306.2,,,,,3,,,,,,2.4
4,134.564,,36.6,,63324.4,,,,6.999999999999999,,0.211,0.1,2.709,,,104.3,,,,314.3,,,,,4,,,,,,2.4
5,134.576,,47.3,,63262.5,,,,6.999999999999999,,0.231,0.1,2.742,,,105.8,,,,326.9,,,,,5,,,,,,2.4
6,134.582,,47.7,,63285.6,,,,6.999999999999999,,0.206,0.1,2.737,,,106,,,,319.2,,,,,6,,,,,,2.4
7,134.591,,74.2,,63360.8,,,,6.999999999999999,,0.226,0.1,2.806,,,108.2,,,,337.6,,,,,7,,,,,,2.4
8,134.602,,82.5,,63405.2,,,,6.999999999999999,,0.221,0.1,2.841,,,109.6,,,,343.5,,,,,8,,,,,,2.4
9,134.61,,97.5,,63419.7,,,,6.999999999999999,,0.231,0.1,2.862,,,111.1,,,,350.5,,,,,9,,,,,,2.4
10,134.624,,106.5,,63397.2,,,,6.999999999999999,,0.222,0.1,2.882,,,111.4,,,,351.1,,,,,10,,,,,,2.4
11,134.63,,126.0,,63401.5,,,,6.999999999999999,,0.241,0.1,2.92,,,112.9,,,,370.6,,,,,11,,,,,,2.4
