num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,27.617,,6,,19165.4,,,,1,,0.018,6.7,6.768,,,99,,,,700.4,,,,,1,,,,,,0.1
2,26.957,,9.1,,19323.2,,,,1.029185868,,0.022,6.51,6.614,,,99,,,,684.7,,,,,2,,,,,,0.1
3,21.315,,20.6,,9600,,,,1.861111111,,0.015,3.6,3.728,,,100,,,,391.7,,,,,3,,,,,,0.1
4,22.24,,20.2,,13588.1,,,,1.431623932,,0.019,4.68,4.79,,,100,,,,503.2,,,,,4,,,,,,0.1
5,22.125,,22.2,,13591.6,,,,1.431623932,,0.021,4.68,4.802,,,100,,,,504.6,,,,,5,,,,,,0.1
6,22.104,,28.7,,13592.1,,,,1.434689507,,0.022,4.67,4.809,,,100.7,,,,506.9,,,,,6,,,,,,0.1
7,22.088,,36.8,,13577,,,,1.425531915,,0.017,4.7,4.823,,,101,,,,508.5,,,,,7,,,,,,0.1
8,22.065,,39.4,,13586,,,,1.425531915,,0.02,4.7,4.828,,,101,,,,511.5,,,,,8,,,,,,0.1
9,22.072,,45.5,,13588.8,,,,1.431623932,,0.022,4.68,4.829,,,100.8,,,,509,,,,,9,,,,,,0.1
10,22.078,,55.9,,13724.5,,,,1.431623932,,0.021,4.68,4.855,,,101.4,,,,520,,,,,10,,,,,,0.1
11,22.096,,59.6,,13734.1,,,,1.43776824,,0.02,4.66,4.845,,,101.2,,,,515.5,,,,,11,,,,,,0.1
