num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,2286.27,,7.2,,1207029.4,,,,1.0,,2.858,8.16,43.0,,,99,,,,4719.0,,,,,1,,,,,,32.76
2,1855.641,,31.8,,977817.5,,,,4.0,,2.981,2.04,37.093,,,100,,,,4141.2,,,,,2,,,,,,32.91
3,1868.668,,80.6,,987280.3,,,,3.8857142857142857,,3.029,2.1,37.15,,,100,,,,4161.4,,,,,3,,,,,,32.67
4,1863.891,,97.3,,984535.9,,,,3.904306220095694,,3.11,2.09,37.474,,,101,,,,4220.5,,,,,4,,,,,,32.92
5,1879.211,,809.1,,1002931.9,,,,4.1421319796954315,,3.076,1.97,37.61,,,101.5,,,,4253.2,,,,,5,,,,,,32.85
6,1889.446,,872.9,,1007511.1,,,,3.250996015936255,,3.129,2.51,38.333,,,102,,,,4369.8,,,,,6,,,,,,32.88
7,1942.257,,1239.7,,1011124.0,,,,2.7019867549668874,,3.212,3.02,39.2,,,103,,,,4487.1,,,,,7,,,,,,32.8
8,1983.631,,2189.8,,1035880.3,,,,2.5822784810126582,,3.188,3.16,40.128,,,105,,,,4574.4,,,,,8,,,,,,32.87
9,2008.193,,4529.3,,1145384.4,,,,2.480243161094225,,3.433,3.29,40.767,,,106.6,,,,4731.0,,,,,9,,,,,,32.84
10,2030.915,,5188.8,,1061823.2,,,,2.5420560747663554,,3.282,3.21,41.4,,,108.1,,,,4813.1,,,,,10,,,,,,32.76
11,2029.723,,5712.5,,1131388.2,,,,2.472727272727273,,3.442,3.3,41.839,,,110,,,,4919.0,,,,,11,,,,,,32.58
