num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,952.479,,7.8,,607097.2,,,,1.0,,1.032,15.92,30.766,,,99,,,,3264.0,,,,,1,,,,,,14.3
2,980.182,,1671.7,,711722.0,,,,1.134711332858161,,1.328,14.03,28.813,,,100,,,,3072.3,,,,,2,,,,,,14.32
3,1010.973,,577.4,,746199.3,,,,1.1047883414295627,,1.534,14.41,29.221,,,100,,,,3141.6,,,,,3,,,,,,14.35
4,1087.932,,812.5,,808904.5,,,,1.4407239819004525,,1.708,11.05,30.518,,,117.0,,,,3317.7,,,,,4,,,,,,14.42
5,1085.082,,1140.9,,749223.0,,,,1.4618916437098255,,1.55,10.89,30.879,,,118.8,,,,3349.9,,,,,5,,,,,,14.33
6,1085.67,,1564.1,,820626.4,,,,1.2953620829943044,,1.674,12.29,30.966,,,113.9,,,,3388.5,,,,,6,,,,,,14.35
7,1135.525,,4879.8,,888490.6,,,,1.641237113402062,,1.721,9.7,31.934,,,128.9,,,,3527.6,,,,,7,,,,,,14.39
8,1176.948,,4125.7,,852425.7,,,,1.5825049701789264,,1.773,10.06,31.901,,,128.1,,,,3547.4,,,,,8,,,,,,14.34
9,1177.83,,8029.7,,950764.0,,,,1.4906367041198503,,1.887,10.68,32.131,,,126.4,,,,3591.5,,,,,9,,,,,,14.3
10,1185.958,,6819.4,,891330.7,,,,1.4740740740740739,,1.794,10.8,32.7,,,127.5,,,,3678.5,,,,,10,,,,,,14.29
11,1220.119,,12202.6,,1088788.5,,,,1.4906367041198503,,2.002,10.68,33.508,,,132.6,,,,3854.5,,,,,11,,,,,,14.28
