num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,4954.94,,11,,2582955.2,,,,1.0,,6.682,8.86,91.588,,,99,,,,10119.0,,,,,1,,,,,,78.62
2,4104.618,,31.9,,2364638.0,,,,3.7071129707112966,,6.891,2.39,85.219,,,99.9,,,,9287.8,,,,,2,,,,,,78.41
3,4147.216,,65.4,,2554394.3,,,,3.587044534412955,,7.175,2.47,85.476,,,100,,,,9379.4,,,,,3,,,,,,78.23
4,4214.503,,90.7,,2454764.4,,,,3.368821292775665,,7.139,2.63,85.754,,,100,,,,9418.6,,,,,4,,,,,,78.53
5,4156.151,,141.5,,2578694.9,,,,3.6460905349794235,,7.252,2.43,86.001,,,101,,,,9492.1,,,,,5,,,,,,78.21
6,4221.627,,175.5,,2607319.3,,,,3.4076923076923076,,7.328,2.6,86.017,,,100.2,,,,9518.5,,,,,6,,,,,,78.32
7,4273.932,,218.0,,2458707.8,,,,3.3816793893129766,,7.233,2.62,86.373,,,101,,,,9599.0,,,,,7,,,,,,78.37
8,4273.755,,291.3,,2579457.0,,,,3.3816793893129766,,7.288,2.62,86.377,,,101.1,,,,9802.9,,,,,8,,,,,,78.09
9,4303.164,,324.1,,2528554.2,,,,3.343396226415094,,7.221,2.65,87.093,,,101.1,,,,9865.6,,,,,9,,,,,,78.53
10,4292.176,,431.1,,2475735.0,,,,3.3816793893129766,,7.304,2.62,87.416,,,102,,,,9978.0,,,,,10,,,,,,78.47
11,4351.371,,504.6,,2453760.8,,,,3.281481481481481,,7.289,2.7,87.689,,,102,,,,10056.4,,,,,11,,,,,,78.35
