num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,212.041,,5.2,,81341.6,,,,1.0,,0.202,0.7,3.136,,,99,,,,346.0,,,,,1,,,,,,2.4
2,134.57,,14.7,,62740.7,,,,6.999999999999999,,0.205,0.1,2.574,,,100.2,,,,290.2,,,,,2,,,,,,2.4
3,134.688,,26.1,,63782.5,,,,6.999999999999999,,0.222,0.1,2.619,,,101.8,,,,303.2,,,,,3,,,,,,2.4
4,134.74,,45.0,,63934.6,,,,6.999999999999999,,0.24,0.1,2.646,,,103,,,,315.0,,,,,4,,,,,,2.4
5,134.961,,59.3,,64204.3,,,,6.999999999999999,,0.226,0.1,2.7,,,104.6,,,,320.1,,,,,5,,,,,,2.4
6,135.051,,66.6,,63884.6,,,,6.999999999999999,,0.221,0.1,2.729,,,105.5,,,,324.2,,,,,6,,,,,,2.4
7,135.185,,100.5,,64881.3,,,,6.999999999999999,,0.226,0.1,2.781,,,107.7,,,,335.5,,,,,7,,,,,,2.4
8,135.607,,123.2,,65213.1,,,,6.999999999999999,,0.239,0.1,2.82,,,109.5,,,,346.0,,,,,8,,,,,,2.4
9,135.471,,137.9,,64511.4,,,,6.999999999999999,,0.225,0.1,2.858,,,110.9,,,,349.3,,,,,9,,,,,,2.4
10,135.504,,158.8,,64763.7,,,,6.999999999999999,,0.229,0.1,2.919,,,112.6,,,,361.2,,,,,10,,,,,,2.4
11,136.367,,199.5,,64585.6,,,,6.999999999999999,,0.237,0.1,3.004,,,115.8,,,,380.0,,,,,11,,,,,,2.41
