num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,27.617,,6,,19165.4,,,,1,,0.018,6.7,6.768,,,99,,,,700.4,,,,,1,,,,,,0.1
2,27.183,,8,,19245.9,,,,1.027607362,,0.025,6.52,6.615,,,99,,,,682.7,,,,,2,,,,,,0.1
3,27.438,,17.8,,18869.2,,,,1.027607362,,0.025,6.52,6.64,,,99.5,,,,682.4,,,,,3,,,,,,0.1
4,27.741,,28.7,,19091.4,,,,1.027607362,,0.026,6.52,6.656,,,100,,,,689.8,,,,,4,,,,,,0.1
5,27.879,,46.9,,19069.6,,,,1.029185868,,0.029,6.51,6.671,,,100,,,,694.2,,,,,5,,,,,,0.1
6,28.214,,64.5,,19041.4,,,,1.026033691,,0.031,6.53,6.704,,,100,,,,699.8,,,,,6,,,,,,0.1
7,28.83,,75,,19324.4,,,,1.027607362,,0.027,6.52,6.719,,,100.9,,,,701.3,,,,,7,,,,,,0.1
8,30.533,,136.7,,19994.6,,,,1.022900763,,0.033,6.55,6.804,,,101.5,,,,716.6,,,,,8,,,,,,0.1
9,31.804,,166.9,,20791.1,,,,1.029185868,,0.038,6.51,6.804,,,102.2,,,,722.7,,,,,9,,,,,,0.1
10,33.23,,171.7,,21551.8,,,,1.043613707,,0.039,6.42,6.843,,,104.2,,,,738.1,,,,,10,,,,,,0.1
11,35.898,,253.5,,22926,,,,1.053459119,,0.045,6.36,6.982,,,107.8,,,,753.6,,,,,11,,,,,,0.1
