num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,2286.27,,7.2,,1207029.4,,,,1.0,,2.858,8.16,43.0,,,99,,,,4719.0,,,,,1,,,,,,32.76
2,1850.924,,34.1,,962205.8,,,,4.227979274611399,,3.011,1.93,37.11,,,99.9,,,,4144.3,,,,,2,,,,,,32.92
3,1873.686,,84.5,,982883.6,,,,4.03960396039604,,3.057,2.02,37.024,,,100,,,,4158.4,,,,,3,,,,,,32.81
4,1884.203,,127.9,,1027536.5,,,,3.709090909090909,,3.185,2.2,37.152,,,100,,,,4205.6,,,,,4,,,,,,32.74
5,1880.954,,225.9,,1007770.8,,,,4.227979274611399,,3.133,1.93,37.072,,,101,,,,4221.1,,,,,5,,,,,,32.64
6,1885.119,,406.9,,1035019.1,,,,4.163265306122449,,3.132,1.96,37.152,,,101,,,,4253.8,,,,,6,,,,,,32.69
7,1877.119,,324.8,,1096122.5,,,,3.8672985781990525,,3.206,2.11,37.626,,,101.1,,,,4298.1,,,,,7,,,,,,32.89
8,1894.779,,474.4,,1041460.5,,,,3.904306220095694,,3.283,2.09,37.659,,,102,,,,4307.4,,,,,8,,,,,,32.86
9,1887.057,,471.9,,1058047.8,,,,4.059701492537314,,3.233,2.01,37.956,,,102.7,,,,4370.3,,,,,9,,,,,,32.9
10,1913.441,,686.6,,1069556.6,,,,4.03960396039604,,3.248,2.02,37.965,,,103,,,,4405.2,,,,,10,,,,,,32.67
11,1908.802,,715.8,,1039945.1,,,,4.08,,3.25,2.0,38.292,,,103.7,,,,4474.9,,,,,11,,,,,,32.86
