num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,1147.058,,7.8,,657906.6,,,,1.0,,1.086,15.3,30.688,,,99,,,,3230.6,,,,,1,,,,,,14.86
2,1158.22,,22.5,,621331.4,,,,1.0999281092739037,,1.139,13.91,29.737,,,101,,,,3174.0,,,,,3,,,,,,14.88
3,1158.238,,30.9,,620023.8,,,,1.108695652173913,,1.159,13.8,29.892,,,102,,,,3197.7,,,,,4,,,,,,14.91
4,1158.25,,44.7,,618326.8,,,,1.1127272727272728,,1.255,13.75,30.122,,,102.2,,,,3235.1,,,,,5,,,,,,14.87
5,1158.26,,58.7,,616447.8,,,,1.1151603498542273,,1.271,13.72,30.292,,,103,,,,3261.1,,,,,6,,,,,,14.89
6,1158.266,,63.7,,614775.9,,,,1.1167883211678833,,1.266,13.7,30.384,,,104,,,,3282.4,,,,,7,,,,,,14.82
7,1158.282,,79.0,,612767.2,,,,1.1176040905770637,,1.313,13.69,30.577,,,105,,,,3310.5,,,,,8,,,,,,14.83
8,1158.292,,87.0,,610660.7,,,,1.1111111111111112,,1.3,13.77,30.972,,,105,,,,3351.7,,,,,9,,,,,,14.87
9,1158.302,,104.4,,608397.7,,,,1.1159737417943107,,1.305,13.71,31.198,,,106,,,,3381.6,,,,,10,,,,,,14.89
10,1158.325,,114.2,,606424.4,,,,1.1241734019103602,,1.308,13.61,31.37,,,107,,,,3410.1,,,,,11,,,,,,14.88
