num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,249.1875,,5.4,,90072.4,,,,1,,0.218,0.7,3.2,,,99,,,,349.8,,,,,1,,,,,,2.5
2,140.558,,33.2,,66251,,,,1.944444444,,0.242,0.36,3.09,,,105.8,,,,355.7,,,,,3,,,,,,2.5
3,140.459,,66.3,,66227.9,,,,2.333333333,,0.262,0.3,3.194,,,111,,,,381,,,,,4,,,,,,2.5
4,140.44,,96.5,,66358.8,,,,2.333333333,,0.283,0.3,3.269,,,114.8,,,,400.8,,,,,5,,,,,,2.5
5,140.433,,128.2,,66315.2,,,,2.333333333,,0.268,0.3,3.311,,,117,,,,412.2,,,,,6,,,,,,2.5
6,140.458,,163.8,,66270.6,,,,2.333333333,,0.265,0.3,3.374,,,119.5,,,,426.1,,,,,7,,,,,,2.5
7,140.472,,203.2,,66300.7,,,,2.592592593,,0.273,0.27,3.449,,,122.7,,,,447.2,,,,,8,,,,,,2.5
8,140.491,,239.6,,66300.5,,,,2.916666667,,0.272,0.24,3.512,,,124.9,,,,467.3,,,,,9,,,,,,2.5
9,140.491,,268.4,,66404.6,,,,3.5,,0.288,0.2,3.581,,,128.3,,,,482,,,,,10,,,,,,2.5
10,140.5,,297.1,,66334.2,,,,3.333333333,,0.297,0.21,3.636,,,129.9,,,,501.8,,,,,11,,,,,,2.49
