num_partitions,max memory (MB),complex dimension,Voluntary context switches,num_edges,Minor (reclaiming a frame) page faults,pure_cover_balance,blowup_size,Elapsed (wall clock) time (h:mm:ss or m:ss),speedup,build cover,System time (seconds),persistence,User time (seconds),complex size,edgecut,Percent of CPU this job got,cover_balance_ratio,filter complex,initialize_cascade_boundary,Involuntary context switches,smallest_cover,build_cover,largest_cover,graph_balance_ratio,num_threads,blowup_factor,total time,closed_cover_balance,re-filter complex,build_blowup,I/O Time
1,49.295,,10.2,,28468.8,,,,1.0,,0.028,7.26,7.332,,,99,,,,757.4,,,,,1,,,,,,0.1
2,47.063,,7.6,,28810.6,,,,1.0371428571428571,,0.031,7.0,7.132,,,99,,,,725.6,,,,,3,,,,,,0.1
3,47.186,,14.0,,28535.6,,,,1.0371428571428571,,0.032,7.0,7.138,,,99.1,,,,727.0,,,,,4,,,,,,0.1
4,47.06,,17.7,,28785.4,,,,1.0371428571428571,,0.03,7.0,7.144,,,99.9,,,,729.1,,,,,5,,,,,,0.1
5,47.22,,23.8,,28575.7,,,,1.0371428571428571,,0.033,7.0,7.148,,,100,,,,732.1,,,,,6,,,,,,0.1
6,47.188,,28.5,,28816.5,,,,1.0371428571428571,,0.035,7.0,7.151,,,100,,,,732.3,,,,,7,,,,,,0.1
7,47.222,,35.2,,28651.7,,,,1.0341880341880343,,0.037,7.02,7.164,,,100,,,,735.3,,,,,8,,,,,,0.1
8,47.219,,37.8,,28852.9,,,,1.035663338088445,,0.034,7.01,7.169,,,100,,,,736.3,,,,,9,,,,,,0.1
9,47.21,,45.9,,28622.2,,,,1.0341880341880343,,0.032,7.02,7.18,,,100,,,,739.0,,,,,10,,,,,,0.1
10,47.273,,59.2,,28816.6,,,,1.03125,,0.038,7.04,7.195,,,100.2,,,,747.2,,,,,11,,,,,,0.1
